,0
0,1
1,2
2,1
3,1
4,1
5,1
6,1
7,2
8,2
9,1
10,1
11,1
12,1
13,2
14,1
15,1
16,3
17,3
18,1
19,3
20,1
21,2
22,1
23,1
24,1
25,3
26,2
27,2
28,3
29,2
30,1
31,1
32,3
33,2
34,3
35,1
36,2
37,3
38,2
39,2
40,2
41,3
42,3
43,3
44,2
45,2
46,1
47,2
48,1
49,1
50,3
51,1
52,2
53,3
54,3
55,1
56,2
57,3
58,1
59,1
60,1
61,3
62,3
63,1
64,1
65,1
66,1
67,3
68,3
69,1
70,1
71,3
72,1
73,3
74,2
75,2
76,2
77,2
78,2
79,1
80,3
81,3
82,2
83,2
84,2
85,2
86,2
87,1
88,1
89,1
90,3
91,2
92,3
93,3
94,3
95,1
96,2
97,2
98,2
99,2
100,1
101,2
102,1
103,1
104,2
105,2
106,3
107,1
108,3
109,3
110,2
111,2
112,2
113,3
114,1
115,3
116,3
117,2
118,2
119,1
120,1
121,3
122,3
123,1
124,2
125,1
126,3
127,2
128,1
129,1
130,1
131,3
132,2
133,1
134,3
135,1
136,2
137,2
138,2
139,2
140,3
141,2
142,2
143,1
144,1
145,2
146,3
147,2
148,2
149,1
150,1
151,2
152,2
153,2
154,1
155,2
156,2
157,2
158,2
159,1
160,3
161,1
162,2
163,2
164,3
165,2
166,3
167,1
168,1
169,3
170,2
171,1
172,2
173,1
174,2
175,3
176,2
177,1
178,1
179,2
180,3
181,2
182,3
183,2
184,2
185,1
186,1
187,2
188,1
189,2
190,2
191,3
192,3
193,3
194,2
195,1
196,1
197,2
198,2
199,2
200,1
201,1
202,3
203,2
204,3
205,2
206,1
207,3
208,2
209,1
210,2
211,1
212,3
213,2
214,1
215,2
216,3
217,3
218,1
219,3
220,1
221,3
222,2
223,3
224,1
225,1
226,2
227,1
228,2
229,1
230,1
231,2
232,1
233,2
234,2
235,2
236,1
237,1
238,1
239,1
240,2
241,1
242,3
243,1
244,1
245,1
246,1
247,2
248,2
249,3
250,3
251,2
252,3
253,3
254,1
255,1
256,2
257,2
258,3
259,1
260,2
261,2
262,2
263,2
264,3
265,2
266,2
267,3
268,2
269,3
270,1
271,3
272,2
273,1
274,1
275,1
276,2
277,2
278,1
279,2
280,3
281,2
282,1
283,1
284,2
285,2
286,3
287,2
288,2
289,2
290,1
291,2
292,1
293,1
294,1
295,2
296,3
297,2
298,2
299,3
300,3
301,3
302,3
303,2
304,2
305,1
306,1
307,2
308,1
309,3
310,2
311,3
312,2
313,3
314,3
315,2
316,1
317,1
318,2
319,2
320,1
321,1
322,2
323,2
324,2
325,2
326,1
327,1
328,1
329,3
330,1
331,3
332,3
333,2
334,3
335,1
336,3
337,3
338,2
339,3
340,2
341,2
342,2
343,2
344,2
345,2
346,2
347,3
348,1
349,1
350,3
351,2
352,3
353,1
354,1
355,1
356,3
357,1
358,3
359,2
360,3
361,1
362,1
363,2
364,1
365,1
366,2
367,2
368,2
369,3
370,2
371,3
372,1
373,3
374,3
375,1
376,2
377,3
378,3
379,1
380,3
381,3
382,2
383,3
384,2
385,3
386,3
387,3
388,1
389,3
390,1
391,1
392,1
393,2
394,3
395,2
396,1
397,2
398,2
399,3
400,3
401,1
402,2
403,2
404,2
405,1
406,3
407,2
408,2
409,3
410,2
411,2
412,3
413,3
414,1
415,1
416,1
417,2
418,2
419,1
420,2
421,3
422,2
423,2
424,2
425,2
426,1
427,2
428,1
429,3
430,1
431,2
432,2
433,2
434,1
435,1
436,2
437,1
438,1
439,2
440,2
441,2
442,1
443,1
444,1
445,2
446,3
447,2
448,3
449,2
450,1
451,3
452,3
453,1
454,1
455,1
456,2
457,3
458,1
459,3
460,1
461,3
462,1
463,1
464,1
465,1
466,1
467,2
468,3
469,1
470,2
471,2
472,1
473,3
474,3
475,1
476,2
477,1
478,2
479,3
480,2
481,1
482,2
483,3
484,2
485,2
486,1
487,2
488,2
489,2
490,1
491,2
492,2
493,3
494,3
495,3
496,3
497,1
498,3
499,1
500,2
501,3
502,1
503,2
504,1
505,2
506,2
507,2
508,1
509,3
510,3
511,3
512,1
513,1
514,1
515,3
516,3
517,2
518,2
519,3
520,1
521,2
522,1
523,1
524,1
525,1
526,3
527,2
528,1
529,3
530,3
531,3
532,1
533,3
534,2
535,1
536,1
537,2
538,3
539,2
540,2
541,1
542,2
543,2
544,2
545,3
546,2
547,2
548,1
549,1
550,3
551,3
552,1
553,1
554,1
555,2
556,2
557,1
558,3
559,1
560,1
561,2
562,3
563,3
564,1
565,1
566,3
567,3
568,2
569,2
570,3
571,3
572,3
573,2
574,1
575,1
576,3
577,3
578,2
579,2
580,3
581,1
582,2
583,3
584,1
585,3
586,1
587,2
588,2
589,3
590,2
591,1
592,1
593,2
594,2
595,2
596,1
597,3
598,2
599,1
600,2
601,1
602,3
603,2
604,2
605,3
606,3
607,1
608,3
609,1
610,3
611,2
612,1
613,1
614,1
615,3
616,2
617,1
618,2
619,1
620,2
621,2
622,2
623,2
624,1
625,1
626,3
627,3
628,1
629,3
630,1
631,3
632,3
633,3
634,2
635,1
636,1
637,2
638,1
639,2
640,1
641,2
642,2
643,1
644,1
645,1
646,2
647,1
648,2
649,1
650,2
651,1
652,3
653,2
654,1
655,1
656,2
657,1
658,2
659,2
660,1
661,3
662,2
663,3
664,1
665,1
666,2
667,2
668,3
669,2
670,1
671,2
672,2
673,1
674,1
675,2
676,3
677,2
678,3
679,1
680,3
681,1
682,1
683,2
684,3
685,2
686,2
687,2
688,2
689,1
690,1
691,1
692,1
693,3
694,3
695,1
696,1
697,1
698,3
699,2
700,3
701,3
702,3
703,1
704,2
705,2
706,2
707,1
708,1
709,3
710,2
711,1
712,2
713,2
714,1
715,2
716,1
717,2
718,1
719,2
720,2
721,1
722,1
723,3
724,3
725,2
726,3
727,1
728,2
729,3
730,2
731,2
732,2
733,3
734,3
735,2
736,1
737,3
738,1
739,1
740,2
741,2
742,2
743,1
744,1
745,1
746,1
747,3
748,1
749,3
750,1
751,1
752,2
753,2
754,2
755,1
756,1
757,2
758,1
759,3
760,2
761,1
762,1
763,1
764,3
765,3
766,3
767,1
768,2
769,2
770,1
771,2
772,2
773,1
774,1
775,2
776,1
777,3
778,2
779,1
780,2
781,2
782,2
783,1
784,2
785,1
786,2
787,2
788,1
789,2
790,1
791,3
792,2
793,2
794,3
795,3
796,1
797,3
798,3
799,3
800,3
801,2
802,2
803,1
804,1
805,3
806,1
807,1
808,3
809,3
810,1
811,2
812,2
813,1
814,2
815,1
816,1
817,2
818,2
819,3
820,1
821,1
822,1
823,3
824,1
825,1
826,2
827,1
828,2
829,2
830,2
831,2
832,3
833,1
834,1
835,1
836,1
837,1
838,2
839,2
840,3
841,2
842,3
843,1
844,3
845,2
846,3
847,1
848,1
849,3
850,2
851,2
852,2
853,1
854,1
855,2
856,1
857,1
858,2
859,1
860,2
861,3
862,2
863,1
864,1
865,3
866,3
867,3
868,2
869,2
870,3
871,3
872,1
873,1
874,1
875,1
876,1
877,3
878,2
879,2
880,2
881,1
882,2
883,3
884,2
885,2
886,1
887,3
888,3
889,3
890,2
891,1
892,3
893,2
894,3
895,1
896,3
897,1
898,3
899,2
900,2
901,3
902,2
903,3
904,1
905,2
906,2
907,1
908,1
909,3
910,2
911,2
912,1
913,3
914,2
915,3
916,1
917,2
918,3
919,1
920,2
921,2
922,1
923,1
924,2
925,1
926,2
927,3
928,2
929,2
930,2
931,3
932,3
933,3
934,3
935,2
936,1
937,3
938,1
939,1
940,1
941,1
942,1
943,3
944,1
945,3
946,2
947,1
948,2
949,3
950,3
951,2
952,1
953,2
954,2
955,2
956,1
957,2
958,1
959,2
960,3
961,3
962,2
963,1
